v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,v150,v151,v152,v153,v154,v155,v156,v157,v158,v159,v160,v161,v162,v163
Subcategory,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top income shares including capital gains,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Top composition,Number of adults,Number of tax units,Number of tax units,Number of tax returns,Fiscal income control,Fiscal income control-incl. capital gains,Price index,Average income per tax unit,Average income per tax unit,Average income per tax unit-including capital gains,Average income per adult,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Fractiles income levels-including capital gains,Pareto-Lorenz coefficient,Inverted Pareto-Lorenz coefficient
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Top 10% income composition,,,,,,Top 5% income composition,,,,,,Top 1% income composition,,,,,,Top 0.5% income composition,,,,,,Top 0.1% income composition,,,,,,Top 0.01% income composition,,,,,,Top 10-5% income composition,,,,,,Top 5-1% income composition,,,,,,Top 1-0.5% income composition,,,,,,Top 0.5-0.1% income composition,,,,,,Top 0.1-0.01% income composition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Variable,Top 10% income share,Top 10% income share,Top 5% income share,Top 5% income share,Top 1% income share,Top 1% income share,Top 0.5% income share,Top 0.5% income share,Top 0.1% income share,Top 0.1% income share,Top 0.05% income share,Top 0.01% income share,Top 10-5% income share,Top 10-5% income share,Top 5-1% income share,Top 5-1% income share,Top 1-0.5% income share,Top 1-0.5% income share,Top 0.5-0.1% income share,Top 0.5-0.1% income share,Top 0.1-0.05% income share,Top 0.05-0.01% income share,Top 0.1-0.01% income share,Top 10% income share-including capital gains,Top 5% income share-including capital gains,Top 1% income share-including capital gains,Top 0.5% income share-including capital gains,Top 0.1% income share-including capital gains,Top 0.05% income share-including capital gains,Top 0.01% income share-including capital gains,Top 10-5% income share-including capital gains,Top 5-1% income share-including capital gains,Top 1-0.5% income share-including capital gains,Top 0.5-0.1% income share-including capital gains,Top 0.1-0.05% income share-including capital gains,Top 0.05-0.01% income share-including capital gains,Top 0.1-0.01% income share-including capital gains,Top 10% income composition,Top 10% income composition,Top 10% income composition,Top 10% income composition,Top 10% income composition,Top 10% income composition,Top 5% income composition,Top 5% income composition,Top 5% income composition,Top 5% income composition,Top 5% income composition,Top 5% income composition,Top 1% income composition,Top 1% income composition,Top 1% income composition,Top 1% income composition,Top 1% income composition,Top 1% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.5% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.1% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 0.01% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 10-5% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 5-1% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 1-0.5% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.5-0.1% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Top 0.1-0.01% income composition,Number of adults,Number of tax units,Number of tax units,Number of tax returns,Fiscal income control,Fiscal income control-incl. capital gains,Price index,Average income per tax unit,Average income per tax unit,Average income per tax unit-including capital gains,Average income per adult,Top 10% average income,Top 10% average income,Top 5% average income,Top 5% average income,Top 1% average income,Top 1% average income,Top 0.5% average income,Top 0.5% average income,Top 0.1% average income,Top 0.1% average income,Top 0.01% average income,Bottom 90% average income,Bottom 90% average income,Top 10-5% average income,Top 10-5% average income,Top 5-1% average income,Top 5-1% average income,Top 1-0.5% average income,Top 1-0.5% average income,Top 0.5-0.1% average income,Top 0.5-0.1% average income,Top 0.1-0.01% average income,P90 income threshold,P95 income threshold,P99 income threshold,P99.5 income threshold,P99.9 income threshold,P99.99 income threshold,Top 10% average income-including capital gains,Top 5% average income-including capital gains,Top 1% average income-including capital gains,Top 0.5% average income-including capital gains,Top 0.1% average income-including capital gains,Top 0.01% average income-including capital gains,Bottom 90% average income-including capital gains,Top 10-5% average income-including capital gains,Top 5-1% average income-including capital gains,Top 1-0.5% average income-including capital gains,Top 0.5-0.1% average income-including capital gains,Top 0.1-0.01% average income-including capital gains,P90 income-including capital gains threshold,P95 income-including capital gains threshold,P99 income-including capital gains threshold,P99.5 income-including capital gains threshold,P99.9 income-including capital gains threshold,P99.99 income-including capital gains threshold,Pareto-Lorenz coefficient,Inverted Pareto-Lorenz coefficient
Subvariable,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,,,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,married couples & single adults,adults,,,,,married couples & single adults,adults,,,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,married couples & single adults,adults,,adults,adults,adults,adults,,,,,,,,,,,,,,,,,,,,,,
1900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
