"Data Source","World Development Indicators",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2256863448.77086","2069870129.87013","1272835453.42634","1201312829.27524","1315158636.67553","1468317435.20148","1596968946.23708","1639492444.76152","1893726437.26462","1845482173.02732","1911563668.85006","2118467913.37873","2376335048.39976","2807061008.69084","3576615240.41616","4900469511.10191","6384452066.5146","9206301269.79164","11662040713.8753","8647937081.2562","9260285755.62424","10142111824.5835","10619320682.9474","11121464437.0415","11609513246.7958","10553337518.414","10546136235.5219","11527458709.0158","12457940694.7395","13619290539.2116","12641698583.2152","13878908628.9378","19513474648.2429",
"American Samoa","ASM","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512000000","524000000","509000000","500000000","493000000","518000000","560000000","675000000","573000000","570000000","640000000","638000000","643000000","673000000","671000000","612000000","639000000","647000000","721000000","750000000","871000000",
"Antigua and Barbuda","ATG","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","77496753.7037037","87879341.4814815","109079978.888889","131431026.666667","147841734.444444","164369278.888889","182144092.962963","208372846.296296","240923924.814815","290440140.740741","337174861.851852","398637727.777778","438794788.518519","459470370.37037","481707407.407407","499281481.481481","535174074.074074","589429629.62963","577281481.481481","633729629.62963","680618518.518518","727859259.259259","766200000","826370370.37037","800481481.481481","814381481.481481","856396296.296296","919729629.62963","1022962962.96296","1157662962.96296","1312759259.25926","1370070370.37037","1228329629.62963","1148700000","1281337037.03704","1327107407.40741","1325425925.92593","1378829629.62963","1437755555.55556","1489692592.59259","1531151851.85185","1661529629.62963","1725351851.85185","1410796296.2963","1601366666.66667","1867733333.33333",
"Australia","AUS","GDP (current US$)","NY.GDP.MKTP.CD","18606562977.0501","19682883149.2613","19922563187.6101","21539843446.375","23801123808.1798","25976164156.1863","27307844369.2551","30442724870.836","32714085234.2536","36683365869.3385","41333606613.3771","45216647234.6636","52040887850.4673","63830877642.5368","88963890935.888","97303017888.8434","105059356494.425","110349850883.23","118491633469.73","134898330114.734","149985515320.334","176893068617.207","194038397881.496","177265418961.893","193518998163.396","180637129503.847","182475517627.308","189487162519.852","236154038684.292","299871835376.042","311420509067.628","325966686052.581","325518458076.533","312128302417.088","322802490487.721","368166023166.023","401341880620.728","435642611296.586","399674421759.479","389652212056.649","416167815092.908","379629301675.108","395788696012.059","467739079790.332","614659980082.515","695692898676.56","748417562769.636","855007458585.224","1056112427190.38","928762122698.05","1148890200292.42","1398701323029.63","1547649835732.89","1577301840200.01","1468597690006.22","1351768945139.11","1207580901578.72","1326882104817","1429733668185.91","1394671325960.57","1330381544909.3","1559033756285.13","1692956646855.7",
"Austria","AUT","GDP (current US$)","NY.GDP.MKTP.CD","6592693841.18495","7311749633.36229","7756110210.11966","8374175257.73075","9169983885.71185","9994070615.85997","10887682273.1014","11579431668.9165","12440625312.8685","13582798556.2404","15373005557.0257","17858486066.7474","22059612476.9332","29515467706.796","35189299911.6608","40059206763.056","42959976221.5234","51545758887.6863","62052259073.2493","73937296963.4586","82058912997.2346","71034228443.062","71275287569.5733","72121016546.6524","67985344886.8716","69386774408.0872","99036164939.1618","124168442533.74","133339397080.129","133105805512.22","166463386179.354","173794177961.108","195078126721.763","190379720809.18","203535242741.838","241038283062.645","237250948791.266","212790348404.555","218259904401.956","217259147049.954","197289625479.906","197508773215.323","214394866675.24","262273631180.054","301457562038.541","316092273276.015","336280064332.411","389185571506.052","432051935642.945","401758735822.211","392275107258.667","431685217367.511","409401816050.531","430190979705.962","442584815286.034","381971148530.543","395837353031.499","417261151844.977","454991174096.102","444596155845.254","435049316955.737","479295362747.047","470941926750.741",
"Azerbaijan","AZE","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8884848484.84848","5344000000","444658671.586716","1570392598.14954","1193141110.35043","2417331192.9526","3176507376.31836","3962362387.47922","4446368570.6901","4581248566.50158","5272615722.96892","5707616203.72011","6236087738.28284","7276413079.11451","8680405740.94125","13245421880.834","20981929497.6188","33049419431.2244","48851293785.4483","44292427184.9492","52909294791.9262","65952796427.9473","69679944504.1972","74160560123.6902","75239785452.1022","53076235354.746","37866996882.9157","40866627351.9817","47112470051.7701","48174235294.1176","42693000000","54825411764.7059","78721058823.5294",
"Burundi","BDI","GDP (current US$)","NY.GDP.MKTP.CD","195999990","202999992","213500006","232749998","260750008","158994962.962963","165444571.428571","178297142.857143","183200000","190205714.285714","242732571.428571","252842285.714286","246804571.428571","304339839.552146","345263492.063492","420986666.666667","448412753.623188","547535555.555556","610225555.555556","782496666.666667","919726666.666667","969046666.666667","1013222222.22222","1082926304.46477","987143931.166987","1149979285.77347","1201725497.06578","1131466494.01101","1082403219.48787","1113924130.41149","1132101252.51817","1167398478.3459","1083037670.60484","938632612.026359","925030590.153683","1000428393.88528","869033856.317093","972896267.915425","893770740.207416","808077223.365746","870486065.883137","876794723.068586","825394519.423728","784654423.620476","915257323.3961","1117113079.73645","1273375078.44844","1356199387.42308","1611835857.04588","1781455139.85931","2032135192.01248","2235820809.32006","2333341334.45753","2451606632.29246","2705783329.80483","3104003546.26497","2644487776.50077","2723586962.84034","2667182199.51333","2576518879.82353","2649680261.43998","2775798697.47186","3338722827.66241",
"Belgium","BEL","GDP (current US$)","NY.GDP.MKTP.CD","11658722590.99","12400145221.595","13264015675.3193","14260017387.0492","15960106680.6732","17371457607.9374","18651883472.4808","19992040788.4593","21376353113.475","23710735894.7022","26706196046.7931","29821661869.912","37209418018.5134","47743801490.3747","56033077879.0389","65678189097.2908","71113882967.6071","82839905458.6382","101246526194.441","116315456796.918","126829314388.191","104730018470.23","92095926187.5331","87184239053.2544","83349530159.1734","86268264148.3796","120018787249.413","149394404105.889","162299103675.261","164221056511.057","205331747947.851","210510999409.333","234781652446.675","224721795708.955","244884129491.198","288025588396.278","279201433224.756","252708051420.839","258528339631.029","258245733221.468","236792460312.471","236746141604.37","258383599375.177","318082528506.588","369214712443.206","385714762230.039","408259840868.823","470922156309.453","517328087920.078","483254171097.812","481420882905.001","523330354138.133","496152879924.727","521791015247.06","535390200131.018","462335574841.484","476062757356.927","502764720556.354","543299066998.902","535865804349.803","526264230147.394","600748812601.541","583435595579.963",
"Benin","BEN","GDP (current US$)","NY.GDP.MKTP.CD","226195578.434497","235668220.508202","236434954.038578","253927697.25805","269819005.87814","289908680.426395","302925235.151997","306221953.104911","326323105.26476","330748244.539574","333627713.494438","335073027.54117","410331856.991218","504376074.185709","554654860.702577","676870140.341529","698408261.922237","750049778.84069","928843469.431727","1186231019.82044","1405251846.54048","1291120188.43104","1267778670.35902","1095348199.43911","1051134008.78979","1045712789.14884","1336102025.27763","1562412227.90058","1620246083.79478","1502294416.17129","1959965330.14765","1986437796.53053","1695315305.70308","2274558082.76135","1598075943.86774","2169627137.9207","2361116449.39308","2268301646.46707","2455092686.34712","3677393998.74486","3519991440.47913","3666222635.13875","4194342686.2178","5349258094.48239","6190270380.49856","6567654954.38903","7034111314.88812","8169048382.83875","9787734526.23965","9738626517.00319","9535345015.78355","10693321363.6574","11141358115.8991","12517845123.9315","13284527846.9081","11388160997.1089","11821065852.1271","12701655845.9612","14262408079.7014","14390708756.988","15686741893.5187","17687623534.6665","17396792699.5489",
"Burkina Faso","BFA","GDP (current US$)","NY.GDP.MKTP.CD","330442815.821186","350247234.260712","379567099.249422","394040667.106335","410321644.964911","422916789.7483","433889766.239436","450753923.548048","460442689.376378","478298645.39382","458404268.761971","482411179.121178","578595521.990135","674773569.877548","751133430.449301","939972703.463021","976547188.054778","1131224878.18865","1475583644.93614","1748480620.52397","1928719888.20688","1775842333.57042","1754450096.23721","1600278605.25465","1459880132.14107","1552493196.28424","2036303357.68113","2369834949.73234","2616040478.99309","2615587733.97303","3101300778.56414","3135045584.08387","3356692505.18266","3199536465.23328","1895290637.09504","2379517975.28056","2586550595.41013","2447669101.95178","2804902367.14687","3389566712.66037","2968370087.59759","3190371080.94768","3622350062.96053","4740768142.67494","5451688537.60959","6146353173.34929","6547419820.38113","7625722836.76847","9451435490.11467","9450696873.34326","10109619740.6994","12080295977.5632","12561015156.5683","13444300485.8412","13943016076.7436","11832159315.6298","12833363045.3367","14106955615.3442","15890066221.2882","16032813501.6639","17725010530.7894","19642668879.7694","18820064797.8379",
"Bangladesh","BGD","GDP (current US$)","NY.GDP.MKTP.CD","4274894083.33333","4817580375","5081413541.66667","5319458562.5","5386054833.33333","5906636791.66667","6439687854.16667","7253575687.5","7483685770.83333","8471006437.5","8992722166.66667","8751843187.5","6288245866.66667","8086725729.3407","12512460519.7088","19448348073.4565","10117113333.3333","9651149301.8746","13281767142.8571","15565480321.9448","18138049095.6072","20249694002.448","18525399201.5968","17609048821.5488","18920840000","22278423076.9231","21774033333.3333","24298032258.0645","26579005558.3652","28781715188.8919","31598340778.2164","30957483949.5798","31708874594.1645","33166519417.9894","33768660882.793","37939748768.6567","46438484107.5795","48244309133.4895","49984559471.3656","51270569883.5275","53369787318.6245","53991289844.3291","54724081490.5102","60158929188.2556","65108544250.0425","69442943089.4309","71819083683.7403","79611888213.148","91631278239.3237","102477779556.785","115279077465.226","128637983882.833","133355820262.925","149990529836.78","172885432686.945","195078573252.202","265236390328.627","293754781336","321379127909.353","351238399005.451","373902197869.16","416264800549.026","460201265527.977",
"Bulgaria","BGR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","19839230769.2308","19870000000","19342000000","16563666666.6667","17594944444.4444","17155421052.6316","20249294117.6471","28101000000","22555941176.4706","21988444444.4444","20632090909.0909","10943548387.0968","10350515463.9175","10832064941.654","9697416974.16974","18991484420.36","12294964837.6235","11316127378.9613","15031055046.7575","13627325461.1743","13245990274.4581","14183446025.7389","16403043849.8297","21144957990.4681","26157743368.8716","29868657858.0082","34380536495.6739","44432811756.4731","54480684188.4442","52023801230.12","50760929302.5147","57737040780.0157","54288135058.7926","55852123989.9504","57157782909.9307","50811995688.6771","53964253211.84","59309748166.1179","66370132238.3914","68881010245.5498","70368758395.141","84041493015.6618","90346169914.9349",
"Bahrain","BHR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","3072698328.46909","3467819148.93617","3645744680.85106","3735106382.97872","3905585106.38298","3651861702.12766","3052393617.02128","3392021010.6383","3702393617.02128","3863563829.78723","4229787234.04255","4616223404.25532","4751063829.78723","5200265957.44681","5567553457.44681","5849467819.14894","6101861436.17021","6349202393.61702","6183776595.74468","6621010372.34043","9062898936.17021","8976196808.51064","9593510638.29787","11074813829.7872","13150159574.4681","15968723404.2553","18504760638.2979","21730000000","25710904255.3191","22938218085.1064","25713271276.5957","28776595744.6809","30749308510.6383","32539468085.1064","33387712765.9574","31050638297.8723","32234973404.2553","35473776595.7447","37802005319.1489","38653318085.1064","34621807712.766","39288670212.766","44383297872.3404",
"Bahamas, The","BHS","GDP (current US$)","NY.GDP.MKTP.CD","169803921.568627","190098039.215686","212254901.960784","237745098.039216","266666666.666667","300392156.862745","340000000","390196078.431373","444901960.784314","528137254.901961","538423153.692615","573400000","590900000","670900000","632400000","596200000","642100000","713000000","832400000","1139800100","1335300000","1426500000","1578300000","1732800000","2041100000","2320699900","2472500000","2713999900","2817900000","3062000000","3166000000","3111160000","3109000000","3092000000","3259000000","3429000000","3609000000","6332360000","6833220000","7683870000","8076470000","8317830000","8881160000","8870090000","9055290000","9836200000","10167250000","10618340000","10526000000","9981960000","10095760000","10070450000","10720400000","10395500000","10974800000","11672900000","11750800000","12253500000","12653600000","13058700000","9754600000","11527600000","12897400000",
"Bosnia and Herzegovina","BIH","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1255802469.1358","1866572953.73665","2786045321.63743","3671909673.04401","4116774300.60671","4686256363.04707","5567772768.81188","5800615466.26648","6728220886.64546","8498894359.38629","10156541538.399","11222796336.5426","12864841905.9543","15778734264.3787","19112796623.1175","17613949091.2294","17176315803.7298","18644233537.1093","17226735995.6905","18179108530.5261","18558733564.4692","16404348871.4437","17116926327.6247","18326373366.1105","20484053868.9246","20482608755.379","20226036564.4129","23649568276.8447","24473906673.7086",
"Belarus","BLR","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9200000000","16416666666.6667","14952100840.3361","13970425776.7549","14756846153.8462","14130585516.1787","15221352698.8944","12138243080.6258","12736780455.1539","12354820143.8849","14594900944.7658","17825444724.4878","23141566292.9462","30210091836.8294","36961894281.3444","45275711995.825","60752106347.126","50873167326.0414","57231904542.8755","61762382327.9319","65685890438.8922","75527558966.4473","78812805039.0743","56454889146.6088","47723545321.259","54725302249.8088","60031173807.7196","64410122847.3508","61371755326.2351","69673747131.87","72793457588.4367",
"Belize","BLZ","GDP (current US$)","NY.GDP.MKTP.CD","28072478.0724781","29964999.965","31857591.8575919","33750113.7501138","36194586.1945862","40110040.1100401","44450044.4500445","47431255.747674","44999910.00018","47399905.2001896","53339893.3202134","59074687.1961851","65998069.3847631","78214767.8301496","103160450.445869","118194026.251574","97094227.2292471","117650000","136300000","151800000","197938222.43","196089854.655","182206326.985","192103185.955","214381949.02","212643742.665","231638320.535","281082558.585","320093360.27","369133890.705","545686365.523175","594975697.04556","693625168.24559","750018765.327715","769649509.481095","816491620.228815","848205276.869645","870861115.17749","926550756.039735","996906468.694785","1134756760.62071","1168127973.94349","1240059540.09348","1303381860.75674","1394273990.60003","1468145956.19917","1584207353.22049","1699214298.91439","1731921564.0667","1681473348.43468","1739070295.44027","1818831938.17757","1899503249.8643","2021757434.18064","2125125606.25723","2194709309.24204","2240593542.9757","2266664817.08822","2292787335.62452","2386792476.10637","2047727810.06777","2424575179.3783","2830507575.6841",
"Bermuda","BMU","GDP (current US$)","NY.GDP.MKTP.CD","84466652.5888912","89249985.1250025","94149984.3083359","96366650.6055582","107566648.738892","114339050.285848","134173375.335433","155102980.09435","150000000","164900000","186300000","211100000","235400000","269500000","312600000","345000000","386300000","447000000","475800000","517200000","613299968","739100032","785500032","889400000","985699968","1039500032","1173500032","1296499968","1415100032","1501500032","1592400000","1634900000","1679900000","1820359900","1867160100","2030750000","2695390000","2932827000","3130748000","3324433000","3480219000","3680483000","3937228000","4186525000","4484703000","4868136000","6144000000","6767000000","6980000000","6656000000","6634526000","6312691000","6378188000","6465756000","6413988000","6654541000","6899911000","7142316000","7225977000","7423465000","6887147000","7127200000","7546000000",
"Bolivia","BOL","GDP (current US$)","NY.GDP.MKTP.CD","373250000","406000000","443916666.666667","478000000","538583333.333333","598333333.333333","662500000","748250000","849333333.333333","920333333.333333","1006833333.33333","1084666666.66667","1286153846.15385","1263600000","2101300000","2405900000","2733350000","3229050000","3760100000","4510500000","4450368036.69452","5778487836.53844","5600385567.80759","5414008064.03461","6169304491.53731","5377276656.9045","3959383519.78036","4347956337.83337","4597611710.02127","4715973437.39371","4867582597.52327","5343262457.10226","5643868748.68126","5734699488.84934","5981222858.82727","6715161732.22658","7396949126.35685","7925736821.45034","8497494652.12546","8285064434.56826","8397855484.76908","8141516928.39489","7905485146.44351","8082399639.54305","8773451751.5121","9549122905.32852","11451844902.2214","13120108008.3477","16674276285.8956","17339992193.7322","19649723722.1034","23963164696.592","27084497481.9103","30659338885.6729","32996188017.3661","33000198248.9146","33941126193.9219","37508642170.767","40287647930.5355","40895322850.9407","36629843806.0781","40406111695.179","44008282877.9606",
"Brazil","BRA","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","425595310393.455","461951781818.18","407337837837.838","390590371724.558","438302216833.007","546229749726.263","769333050986.905","850426432991.742","883206179730.462","863710759256.435","599642024319.531","655448231983.527","559983634798.981","509795273806.715","558233745651.874","669289424806.307","891633839853.105","1107626541710.74","1397114486471.38","1695855083552.05","1666996438681.46","2208837745214.23","2616156223977.47","2465227803011.57","2472819535742.73","2456043727198.85","1802212206904.68","1795693482652.52","2063514977334.32","1916933898038.36","1873288205186.45","1476107231194.11","1649622821885.14","1920095779022.73",
"Barbados","BRB","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","311809337.473213","402178605.019554","435911268.58968","495097667.929041","552883707.055138","670362452.145379","1012280614.52792","1114204743.20091","1163923830.35847","1236016506.73694","1346890071.09829","1409536120.91682","1547755183.21484","1704370307.76115","1812757917.76463","2006165166.80754","2012131457.26644","2020583702.08323","1957000000","2063342117.03873","2151344901.30761","2216974096.35559","2363645403.47039","2498384129.66738","2817083478.34734","2951822204.54432","3059500000","3054500000","3106500000","3209500000","3444500000","3819500000","4217450000","4674000000","4785250000","4465500000","4531150000","4656400000","4613850000","4685550000","4707600000","4734000000","4843300000","4992300000","5110250000","5341100000","4738800000","4923100000","5699950000",
"Brunei Darussalam","BRN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","114039500.591268","132757528.044374","139029537.243321","160818235.866746","161210236.44168","179078929.315763","197525767.791735","270822782.026674","433095526.686136","1073591623.99918","1168304305.65513","1423037167.08717","1732721160.94122","1941579358.18648","2803834158.48186","4928806542.84871","4366230382.84804","4264202520.99859","3844632166.77315","3782553233.98105","3523532486.42138","2358574402.60639","2754485672.48643","2690684124.87422","2985532273.16591","3520487626.98389","3701774188.88021","4183632940.38492","4105729020.64685","4087220218.87545","4734103536.46706","5115454089.63285","5197311972.06908","4051142386.30212","4600116699.1257","6001282104.08228","5601018684.24974","5843368267.85391","6557397070.22741","7872202803.40877","9531420027.79385","11470464771.013","12247677993.9248","14393434224.7597","10732595016.1182","13707280259.9763","18525128526.3766","19048443340.7732","18094321616.7959","17097802752.8728","12930291487.9581","11400466356.3898","12128183904.4501","13566937673.7966","13469235364.7032","12005799653.9835","14006496617.4458","16681536466.7183",
"Bhutan","BTN","GDP (current US$)","NY.GDP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","128669200.891015","139174178.055541","141439317.409847","156704289.90371","160423493.962596","163288815.320869","191218115.488485","242742766.354203","272298066.541674","264798626.162522","287765007.10715","240294286.015925","240233531.160464","225973692.8371","258954708.048533","290490983.815778","303408345.620078","352229076.707627","363458380.903342","399311199.50776","424448931.007248","461479581.813528","520846133.513339","603999374.539588","682577068.508011","796938571.960642","874989741.101421","1168307584.21345","1227809270.44945","1234015133.10525","1547990911.56653","1777102573.23973","1781280181.55431","1756214316.41385","1907090375.97776","2003596838.78013","2158971711.31564","2591358114.48376","2583335723.83252","2735683408.71698","2457604042.76364","2768003872.54065","",
